ID,Start time,Completion time,Gender,Age,Closest biggest city near you,Number of kids (<18y) living with you,Birth Year,Number of modules completed so far,Average mark so far2,Prediction for this module's mark,I enjoy working with data,I am excited about working with data,I am afraid of working with data,I am interested in understanding Data Analytics,I plan to work hard in this module,"Height (absolute value, in centimeters (cm) - sorry imperial system users!)",Height (relative)
104,1/7/21 11:14:28,1/7/21 11:18:31,Man,30-39,Bandundu,1,1988,2,67,72,Agree,Agree,Completely Agree,Completely Agree,Completely Agree,184,tall
105,1/7/21 15:46:58,1/7/21 15:49:44,Man,30-39,Abuja,0,1987,1,25,95,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,187,tall
106,1/8/21 4:08:33,1/8/21 4:10:14,Man,40-49,Hong Kong,0,1980,3,60,70,Completely Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,189,tall
107,1/9/21 0:54:23,1/9/21 0:57:06,Man,40-49,Montreal,3,1975,1,78,75,Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,184,tall
108,1/9/21 14:19:00,1/9/21 14:20:59,Man,50-59,"Zurich, Switzerland",0,1964,5,60,75,Agree,Completely Agree,Completely Disagree,Agree,Completely Agree,186,tall
109,1/11/21 11:47:27,1/11/21 11:48:16,Woman,40-49,Berlin,1,1978,3,70,70,Agree,Agree,Completely Disagree,Completely Agree,Completely Agree,166,average
110,1/11/21 15:30:36,1/11/21 15:35:06,Woman,40-49,Lusaka,5,1976,5,56,60,Agree,Agree,Disagree,Agree,Agree,160,average
111,1/12/21 6:12:16,1/12/21 6:16:09,Woman,40-49,Riyadh,0,1976,5,69,71,Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,171,tall
112,1/13/21 13:58:28,1/13/21 14:03:36,Woman,40-49,LAGOS,1,1979,2,67,72,Agree,Agree,Disagree,Completely Agree,Completely Agree,165,average
113,1/13/21 23:13:22,1/13/21 23:15:00,Man,20-29,"Stuttgart, Germany",0,1992,3,76,81,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,187,tall
114,1/14/21 8:24:17,1/14/21 8:29:01,Woman,40-49,Abuja,1,1979,2,67,70,Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,168.8,average
115,1/14/21 9:03:31,1/14/21 9:06:28,Man,30-39,Lagos,0,1981,2,65,75,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,173,average
116,1/16/21 21:03:37,1/16/21 21:06:29,Man,60-69,Lethbridge,3,1958,4,60,65,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,188,tall
117,1/18/21 6:25:01,1/18/21 6:27:29,Man,40-49,Brampton,2,1976,none,,80,Completely Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,170.18,average
118,1/18/21 7:36:51,1/18/21 7:39:39,Man,30-39,Pokhara,0,1983,5,50,59,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,167,average
119,1/20/21 23:55:17,1/20/21 23:56:44,Man,40-49,Luanda,3,1977,2,55,65,Agree,Agree,Disagree,Agree,Agree,171,average
120,1/21/21 8:36:15,1/21/21 8:40:06,Woman,30-39,Bangkok,0,1986,2,1,65,Agree,Agree,Disagree,Completely Agree,Completely Agree,164,average
121,1/21/21 13:02:34,1/21/21 13:04:49,Man,50-59,Vienna,2,1971,1,50,86,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,175,average
122,1/23/21 21:03:16,1/23/21 21:10:18,Woman,20-29,Muscat ,1,1991,none,,88,Completely Agree,Completely Agree,Disagree,Completely Agree,Agree,151.5,short
123,1/24/21 11:31:47,1/24/21 11:33:40,Man,30-39,New Delhi,0,1981,3,60,70,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,187,tall
124,1/23/21 6:31:26,1/26/21 5:44:31,Man,40-49,Singapore,1,1971,3,68.3,70,Agree,Agree,Meh,Agree,Agree,180,tall
125,1/27/21 0:36:42,1/27/21 0:40:04,Man,30-39,Riyadh,2,1985,none,,80,Completely Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,183,tall
126,1/27/21 12:20:17,1/27/21 12:21:47,Man,30-39,Hafnafjorður,0,1984,1,8,8,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,181,tall
127,1/30/21 15:19:20,1/30/21 15:24:18,Man,40-49,"Washington, D.C.",1,1972,5,73.6,75,Completely Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,172,short
128,2/6/21 13:58:30,2/6/21 14:01:41,Man,30-39,Dusseldorf,1,1983,4,60,65,Agree,Agree,Disagree,Agree,Meh,172,average
129,2/9/21 6:21:02,2/9/21 6:22:55,Man,30-39,Abuja,0,1985,4,60,82,Agree,Agree,Disagree,Completely Agree,Completely Agree,1.61,tall
130,2/11/21 1:30:11,2/11/21 1:32:37,Man,30-39,Dusseldorf,1,1983,4,72,60,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Agree,173,average
131,2/12/21 12:05:38,2/12/21 12:08:08,Man,30-39,RIYADH,3,1986,2,70,80,Completely Agree,Agree,Disagree,Agree,Agree,178,average
132,3/24/21 8:08:54,3/24/21 8:10:41,Woman,60-69,Port louis,0,1957,5,58,60,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,160,average
133,5/3/21 2:04:30,5/3/21 2:07:41,Man,50-59,Dallas,0,1964,1,54,68,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,177,average
134,5/3/21 9:50:55,5/3/21 9:54:02,Man,20-29,Warsaw,0,1995,2,58,65,Agree,Agree,Disagree,Agree,Agree,182,average
135,5/3/21 21:19:31,5/3/21 21:22:16,Man,40-49,tokyo,3,1979,4,65,64,Agree,Agree,Completely Disagree,Completely Agree,Completely Agree,174,average
136,5/3/21 22:46:04,5/3/21 22:49:40,Man,30-39,Dubai,1,1988,1,73,75,Completely Agree,Completely Agree,Meh,Completely Agree,Agree,170,average
137,5/4/21 3:41:28,5/4/21 3:43:36,Woman,40-49,Toronto,3,1977,3,75,80,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,157.5,very short
138,5/4/21 13:22:07,5/4/21 13:24:57,Woman,30-39,Tapei,0,1988,3,66,68,Completely Agree,Meh,Agree,Agree,Agree,152,very short
139,5/5/21 22:26:55,5/5/21 22:32:04,Woman,40-49,Toronto ,1,1978,3,65,65,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,168,tall
140,5/6/21 12:05:47,5/6/21 12:07:17,Woman,30-39,Luxembourg ,2,1988,3,68,70,Meh,Agree,Disagree,Completely Agree,Completely Agree,158,short
141,5/8/21 5:13:28,5/8/21 5:16:59,Man,40-49,Kampala,5,1973,3,68.5,70,Agree,Agree,Agree,Completely Agree,Completely Agree,5.7,tall
142,5/10/21 9:09:00,5/10/21 9:10:41,Man,20-29,Lisbon,0,1998,3,62.7,69,Meh,Agree,Completely Agree,Agree,Completely Agree,172,average
143,5/11/21 12:43:41,5/11/21 12:45:06,Man,40-49,Eindhoven,2,1975,2,26,55,Agree,Agree,Disagree,Agree,Agree,186,tall
144,5/12/21 9:28:55,5/12/21 9:32:02,Woman,30-39,dubai,0,6031989,2,66.5,73,Agree,Agree,Agree,Completely Agree,Completely Agree,161.54,short
145,5/14/21 0:03:05,5/14/21 0:04:17,Man,20-29,Zurich,0,1997,1,60,70,Completely Agree,Completely Agree,Disagree,Completely Agree,Agree,172,average
146,5/14/21 9:36:14,5/14/21 9:37:24,Woman,30-39,Luxembourg,2,1988,3,68,70,Meh,Agree,Agree,Agree,Completely Agree,158,short
147,5/14/21 11:11:23,5/14/21 11:15:34,Woman,30-39,Zürich,0,1983,3,64,51,Agree,Agree,Disagree,Completely Agree,Completely Agree,170,tall
148,5/15/21 22:53:53,5/15/21 22:59:15,Woman,40-49,Berlin,1,1975,2,68,70,Agree,Agree,Disagree,Agree,Completely Agree,170,average
149,5/16/21 4:38:05,5/16/21 4:41:40,Woman,40-49,Ampang,0,1980,2,65,80,Agree,Agree,Disagree,Completely Agree,Completely Agree,150,short
150,5/16/21 10:10:04,5/16/21 10:15:14,Man,50-59,Lagos,1,1970,none,,70,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,173,tall
151,5/16/21 13:48:28,5/16/21 13:50:53,Woman,40-49,Ludhiana ,1,1978,3,60,65,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,167.64,tall
152,5/17/21 13:51:09,5/17/21 13:53:04,Woman,20-29,Amsterdam,0,1995,1,70,65,Agree,Meh,Agree,Agree,Agree,164,short
153,5/19/21 22:22:37,5/19/21 22:24:27,Man,20-29,Istanbul,0,1995,1,66,75,Meh,Agree,Meh,Completely Agree,Agree,175,average
